因子名称,参数1,参数2,科目类别,年化收益率 （全时期）,夏普比率 （全时期）,最大回撤率 （全时期）,年化收益率 （前2/3时期）,夏普比率 （前2/3时期）,最大回撤率 （前2/3时期）,年化收益率 （后1/3时期）,夏普比率 （后1/3时期）,最大回撤率 （后1/3时期）,IC值,ICIR
CAP,mean,,LT_SB,-0.003,-0.088,0.1,-0.05,-0.894,0.1,-0.009,-0.119,0.058,-0.003,-0.038
CAP,mean,,Long_top,0.059,2.336,0.043,-0.033,-1.33,0.043,0.187,2.049,0.025,-0.003,-0.038
CAP,mean,,Long_bottom,0.058,2.536,0.049,0.014,0.411,0.043,0.182,2.841,0.033,-0.003,-0.038
