因子名称,参数1,参数2,科目类别,年化收益率 （全时期）,夏普比率 （全时期）,最大回撤率 （全时期）,年化收益率 （前2/3时期）,夏普比率 （前2/3时期）,最大回撤率 （前2/3时期）,年化收益率 （后1/3时期）,夏普比率 （后1/3时期）,最大回撤率 （后1/3时期）,IC值,ICIR
CAP,mean_diff,,LT_SB,0.01,0.275,0.094,-0.087,-2.105,0.094,0.03,0.409,0.047,-0.003,-0.038
CAP,mean_diff,,Long_top,0.057,2.274,0.041,0.013,0.467,0.041,0.18,3.385,0.025,-0.003,-0.038
CAP,mean_diff,,Long_bottom,0.042,1.669,0.061,0.105,2.555,0.027,0.131,2.761,0.045,-0.003,-0.038
