因子名称,参数1,参数2,科目类别,年化收益率 （全时期）,夏普比率 （全时期）,最大回撤率 （全时期）,年化收益率 （前2/3时期）,夏普比率 （前2/3时期）,最大回撤率 （前2/3时期）,年化收益率 （后1/3时期）,夏普比率 （后1/3时期）,最大回撤率 （后1/3时期）,IC值,ICIR
CAP,mean,,LT_SB,-0.124,-3.806,0.105,-0.137,-5.099,0.079,-0.327,-4.312,0.067,0.001,0.014
CAP,mean,,Long_top,-0.053,-3.099,0.051,-0.105,-4.82,0.049,-0.15,-4.758,0.031,0.001,0.014
CAP,mean,,Long_bottom,0.077,3.146,0.039,0.032,1.424,0.039,0.248,3.073,0.021,0.001,0.014
