因子名称,参数1,参数2,科目类别,年化收益率 （全时期）,夏普比率 （全时期）,最大回撤率 （全时期）,年化收益率 （前2/3时期）,夏普比率 （前2/3时期）,最大回撤率 （前2/3时期）,年化收益率 （后1/3时期）,夏普比率 （后1/3时期）,最大回撤率 （后1/3时期）,IC值,ICIR
CAP,std_ratio,,LT_SB,0.02,0.377,0.125,0.155,2.464,0.042,0.062,0.551,0.1,0.001,0.014
CAP,std_ratio,,Long_top,-0.03,-1.046,0.074,0.017,0.779,0.036,-0.087,-1.328,0.063,0.001,0.014
CAP,std_ratio,,Long_bottom,-0.054,-1.594,0.085,-0.123,-2.238,0.085,-0.152,-3.7,0.029,0.001,0.014
