因子名称,参数1,参数2,科目类别,年化收益率 （全时期）,夏普比率 （全时期）,最大回撤率 （全时期）,年化收益率 （前2/3时期）,夏普比率 （前2/3时期）,最大回撤率 （前2/3时期）,年化收益率 （后1/3时期）,夏普比率 （后1/3时期）,最大回撤率 （后1/3时期）,IC值,ICIR
CAP,mean,,LT_SB,0.001,0.03,0.066,0.08,2.704,0.051,0.002,0.024,0.063,-0.003,-0.044
CAP,mean,,Long_top,0.121,2.798,0.033,0.148,3.581,0.025,0.399,7.482,0.033,-0.003,-0.044
CAP,mean,,Long_bottom,0.116,2.667,0.031,0.059,1.474,0.026,0.38,4.835,0.031,-0.003,-0.044
