因子名称,参数1,参数2,科目类别,年化收益率 （全时期）,夏普比率 （全时期）,最大回撤率 （全时期）,年化收益率 （前2/3时期）,夏普比率 （前2/3时期）,最大回撤率 （前2/3时期）,年化收益率 （后1/3时期）,夏普比率 （后1/3时期）,最大回撤率 （后1/3时期）,IC值,ICIR
CAP,std,,LT_SB,0.169,2.015,0.055,0.186,2.235,0.055,0.578,6.176,0.025,-0.003,-0.044
CAP,std,,Long_top,0.155,2.317,0.043,0.162,2.53,0.043,0.526,5.813,0.02,-0.003,-0.044
CAP,std,,Long_bottom,-0.015,-0.761,0.042,-0.024,-0.993,0.039,-0.043,-2.466,0.016,-0.003,-0.044
