因子名称,参数1,参数2,科目类别,年化收益率 （全时期）,夏普比率 （全时期）,最大回撤率 （全时期）,年化收益率 （前2/3时期）,夏普比率 （前2/3时期）,最大回撤率 （前2/3时期）,年化收益率 （后1/3时期）,夏普比率 （后1/3时期）,最大回撤率 （后1/3时期）,IC值,ICIR
CAP,std_ratio,,LT_SB,0.112,2.985,0.073,0.053,1.298,0.073,0.37,5.999,0.028,-0.001,-0.014
CAP,std_ratio,,Long_top,0.011,0.433,0.071,-0.024,-0.701,0.061,0.032,0.754,0.03,-0.001,-0.014
CAP,std_ratio,,Long_bottom,-0.095,-2.169,0.104,-0.077,-2.626,0.062,-0.256,-6.983,0.045,-0.001,-0.014
