因子名称,参数1,参数2,科目类别,年化收益率 （全时期）,夏普比率 （全时期）,最大回撤率 （全时期）,年化收益率 （前2/3时期）,夏普比率 （前2/3时期）,最大回撤率 （前2/3时期）,年化收益率 （后1/3时期）,夏普比率 （后1/3时期）,最大回撤率 （后1/3时期）,IC值,ICIR
CAP,mean_diff,,LT_SB,-0.052,-2.31,0.075,-0.034,-0.854,0.075,-0.148,-4.544,0.035,-0.003,-0.038
CAP,mean_diff,,Long_top,0.034,1.187,0.065,0.043,1.036,0.054,0.105,1.513,0.053,-0.003,-0.038
CAP,mean_diff,,Long_bottom,0.087,3.432,0.047,0.075,2.099,0.029,0.28,3.512,0.036,-0.003,-0.038
