因子名称,参数1,参数2,科目类别,年化收益率 （全时期）,夏普比率 （全时期）,最大回撤率 （全时期）,年化收益率 （前2/3时期）,夏普比率 （前2/3时期）,最大回撤率 （前2/3时期）,年化收益率 （后1/3时期）,夏普比率 （后1/3时期）,最大回撤率 （后1/3时期）,IC值,ICIR
CAP,std,,LT_SB,0.059,1.281,0.038,0.007,0.206,0.032,0.187,1.918,0.038,-0.003,-0.038
CAP,std,,Long_top,0.022,0.756,0.044,-0.016,-0.772,0.044,0.065,1.177,0.021,-0.003,-0.038
CAP,std,,Long_bottom,-0.039,-1.47,0.072,-0.026,-0.66,0.063,-0.112,-2.661,0.046,-0.003,-0.038
