因子名称,用作条件的因子,使用的参数,归属指数,科目类别,partion_loc,start_day,end_day,trl_day,nmlz_days,年化收益率 （全时期）,超额收益（全时期）：,夏普比率 （全时期）,最大回撤率 （全时期）,年化收益率 （前2/3时期）,夏普比率 （前2/3时期）,最大回撤率 （前2/3时期）,年化收益率 （后1/3时期）,夏普比率 （后1/3时期）,最大回撤率 （后1/3时期）,IC值,ICIR
circ_mv,circ_mv,std,中证500,Long_top,TOP,20130101,20201231,30,10,4.49%,-5.47%,0.31,-66.59%,7.62%,0.41,-56.49%,-1.51%,0.06,-32.59%,-0.0021,-0.0262
circ_mv,circ_mv,std,中证500,Long_bottom,TOP,20130101,20201231,30,10,15.23%,5.27%,0.67,-55.93%,19.04%,0.76,-50.91%,7.91%,0.46,-29.29%,-0.0021,-0.0262
circ_mv,circ_mv,std,中证500,LT_SB,BOTTOM,20130101,20201231,10,10,-2.05%,-12.27%,-0.16,-28.39%,-1.76%,-0.11,-28.39%,-2.64%,-0.25,-21.13%,-0.0067,-0.0748
circ_mv,circ_mv,std,中证500,Long_top,BOTTOM,20130101,20201231,10,10,6.35%,-3.88%,0.36,-69.96%,10.35%,0.47,-61.23%,-1.07%,0.09,-36.08%,-0.0067,-0.0748
circ_mv,circ_mv,std,中证500,Long_bottom,BOTTOM,20130101,20201231,10,10,8.30%,-1.92%,0.42,-67.74%,11.72%,0.52,-53.78%,1.76%,0.18,-35.72%,-0.0067,-0.0748
circ_mv,circ_mv,std,中证500,LT_SB,BOTTOM,20130101,20201231,20,10,-0.88%,-10.83%,-0.04,-23.09%,0.39%,0.09,-23.09%,-3.32%,-0.34,-14.62%,-0.0046,-0.0559
circ_mv,circ_mv,std,中证500,Long_top,BOTTOM,20130101,20201231,20,10,7.62%,-2.34%,0.41,-65.03%,12.70%,0.54,-54.38%,-1.71%,0.06,-34.06%,-0.0046,-0.0559
circ_mv,circ_mv,std,中证500,Long_bottom,BOTTOM,20130101,20201231,20,10,8.40%,-1.56%,0.44,-66.69%,12.01%,0.54,-53.32%,1.37%,0.18,-35.05%,-0.0046,-0.0559
circ_mv,circ_mv,std,中证500,LT_SB,BOTTOM,20130101,20201231,30,10,-2.25%,-12.21%,-0.20,-42.59%,-1.12%,-0.07,-32.14%,-4.44%,-0.51,-23.21%,-0.0074,-0.0915
circ_mv,circ_mv,std,中证500,Long_top,BOTTOM,20130101,20201231,30,10,5.18%,-4.79%,0.32,-72.00%,10.64%,0.49,-59.06%,-5.08%,-0.09,-37.11%,-0.0074,-0.0915
circ_mv,circ_mv,std,中证500,Long_bottom,BOTTOM,20130101,20201231,30,10,7.23%,-2.74%,0.41,-61.49%,11.62%,0.55,-51.86%,-1.17%,0.08,-34.60%,-0.0074,-0.0915
circ_mv,circ_mv,std,中证500,LT_SB,TOP,20130101,20201231,10,20,-13.13%,-23.10%,-1.57,-66.03%,-13.43%,-1.59,-52.74%,-12.40%,-1.44,-30.44%,-0.001,-0.0118
circ_mv,circ_mv,std,中证500,Long_top,TOP,20130101,20201231,10,20,-1.90%,-11.86%,0.08,-74.01%,1.56%,0.21,-61.85%,-8.45%,-0.24,-35.08%,-0.001,-0.0118
circ_mv,circ_mv,std,中证500,Long_bottom,TOP,20130101,20201231,10,20,12.40%,2.45%,0.56,-66.60%,16.80%,0.67,-58.09%,4.10%,0.28,-35.41%,-0.001,-0.0118
circ_mv,circ_mv,std,中证500,LT_SB,TOP,20130101,20201231,20,20,-11.57%,-21.53%,-1.35,-62.17%,-12.45%,-1.47,-50.33%,-9.81%,-1.05,-26.01%,-0.0039,-0.0467
circ_mv,circ_mv,std,中证500,Long_top,TOP,20130101,20201231,20,20,3.12%,-6.84%,0.25,-70.95%,5.47%,0.33,-58.15%,-1.42%,0.06,-35.71%,-0.0039,-0.0467
circ_mv,circ_mv,std,中证500,Long_bottom,TOP,20130101,20201231,20,20,16.31%,6.34%,0.69,-61.25%,20.61%,0.79,-56.78%,8.11%,0.45,-30.94%,-0.0039,-0.0467
circ_mv,circ_mv,std,中证500,LT_SB,TOP,20130101,20201231,30,20,-5.86%,-16.48%,-0.66,-40.30%,-6.30%,-0.71,-33.11%,-5.03%,-0.55,-23.22%,-0.0009,-0.0109
circ_mv,circ_mv,std,中证500,Long_top,TOP,20130101,20201231,30,20,5.66%,-4.96%,0.35,-66.54%,7.81%,0.40,-57.61%,1.46%,0.19,-29.43%,-0.0009,-0.0109
circ_mv,circ_mv,std,中证500,Long_bottom,TOP,20130101,20201231,30,20,12.60%,1.97%,0.58,-65.63%,15.72%,0.66,-56.78%,6.64%,0.38,-31.57%,-0.0009,-0.0109
circ_mv,circ_mv,std,中证500,LT_SB,BOTTOM,20130101,20201231,10,20,1.76%,-8.20%,0.24,-25.29%,3.42%,0.38,-25.29%,-1.37%,-0.06,-22.89%,-0.0046,-0.0484
circ_mv,circ_mv,std,中证500,Long_top,BOTTOM,20130101,20201231,10,20,6.15%,-3.80%,0.36,-68.64%,10.35%,0.48,-57.13%,-1.81%,0.06,-36.24%,-0.0046,-0.0484
circ_mv,circ_mv,std,中证500,Long_bottom,BOTTOM,20130101,20201231,10,20,4.00%,-5.95%,0.29,-70.99%,6.54%,0.37,-58.19%,-1.03%,0.09,-36.25%,-0.0046,-0.0484
circ_mv,circ_mv,std,中证500,LT_SB,BOTTOM,20130101,20201231,20,20,-2.73%,-12.70%,-0.21,-23.54%,-1.42%,-0.07,-21.56%,-5.22%,-0.51,-20.05%,-0.0058,-0.0695
circ_mv,circ_mv,std,中证500,Long_top,BOTTOM,20130101,20201231,20,20,5.66%,-4.30%,0.35,-67.27%,10.45%,0.48,-53.75%,-3.47%,0.01,-33.19%,-0.0058,-0.0695
circ_mv,circ_mv,std,中证500,Long_bottom,BOTTOM,20130101,20201231,20,20,8.59%,-1.37%,0.45,-67.77%,12.21%,0.55,-52.31%,1.66%,0.19,-37.73%,-0.0058,-0.0695
circ_mv,circ_mv,std,中证500,LT_SB,BOTTOM,20130101,20201231,30,20,0.78%,-9.84%,0.14,-28.62%,1.46%,0.20,-23.30%,-0.68%,-0.02,-19.58%,-0.0066,-0.0793
circ_mv,circ_mv,std,中证500,Long_top,BOTTOM,20130101,20201231,30,20,7.71%,-2.91%,0.41,-68.35%,13.09%,0.56,-54.77%,-2.29%,0.04,-35.39%,-0.0066,-0.0793
circ_mv,circ_mv,std,中证500,Long_bottom,BOTTOM,20130101,20201231,30,20,6.93%,-3.69%,0.40,-62.11%,11.72%,0.55,-53.57%,-1.95%,0.05,-32.61%,-0.0066,-0.0793
circ_mv,circ_mv,std,中证500,LT_SB,TOP,20130101,20201231,10,30,-13.57%,-23.54%,-1.56,-66.93%,-13.43%,-1.55,-51.74%,-13.87%,-1.54,-32.76%,-0.0004,-0.0049
circ_mv,circ_mv,std,中证500,Long_top,TOP,20130101,20201231,10,30,-0.83%,-10.80%,0.12,-71.54%,3.22%,0.25,-59.21%,-8.30%,-0.23,-33.47%,-0.0004,-0.0049
circ_mv,circ_mv,std,中证500,Long_bottom,TOP,20130101,20201231,10,30,13.96%,4.00%,0.61,-63.06%,18.46%,0.71,-55.53%,5.27%,0.34,-33.49%,-0.0004,-0.0049
circ_mv,circ_mv,std,中证500,LT_SB,TOP,20130101,20201231,20,30,-10.84%,-21.46%,-1.20,-59.03%,-10.94%,-1.21,-44.73%,-10.69%,-1.13,-28.24%,-0.0037,-0.0424
circ_mv,circ_mv,std,中证500,Long_top,TOP,20130101,20201231,20,30,4.00%,-6.62%,0.28,-70.40%,7.03%,0.37,-57.52%,-1.76%,0.06,-33.74%,-0.0037,-0.0424
circ_mv,circ_mv,std,中证500,Long_bottom,TOP,20130101,20201231,20,30,16.31%,5.68%,0.70,-60.75%,20.02%,0.78,-56.45%,9.18%,0.49,-29.31%,-0.0037,-0.0424
circ_mv,circ_mv,std,中证500,LT_SB,TOP,20130101,20201231,30,30,-4.20%,-14.94%,-0.45,-30.85%,-4.15%,-0.42,-28.64%,-4.25%,-0.49,-23.03%,-0.0012,-0.0139
circ_mv,circ_mv,std,中证500,Long_top,TOP,20130101,20201231,30,30,7.71%,-3.02%,0.41,-63.06%,10.74%,0.48,-54.52%,2.05%,0.20,-29.26%,-0.0012,-0.0139
circ_mv,circ_mv,std,中证500,Long_bottom,TOP,20130101,20201231,30,30,12.40%,1.67%,0.57,-65.08%,15.62%,0.65,-53.16%,6.05%,0.37,-33.56%,-0.0012,-0.0139
circ_mv,circ_mv,std,中证500,LT_SB,BOTTOM,20130101,20201231,10,30,3.61%,-6.35%,0.42,-25.16%,6.84%,0.70,-21.95%,-2.64%,-0.17,-25.16%,-0.0047,-0.0492
circ_mv,circ_mv,std,中证500,Long_top,BOTTOM,20130101,20201231,10,30,6.54%,-3.42%,0.37,-68.18%,11.82%,0.51,-57.81%,-3.37%,-0.01,-35.38%,-0.0047,-0.0492
circ_mv,circ_mv,std,中证500,Long_bottom,BOTTOM,20130101,20201231,10,30,2.44%,-7.53%,0.23,-72.73%,4.59%,0.30,-59.68%,-1.86%,0.06,-35.34%,-0.0047,-0.0492
circ_mv,circ_mv,std,中证500,LT_SB,BOTTOM,20130101,20201231,20,30,1.56%,-9.06%,0.22,-22.31%,3.22%,0.39,-22.31%,-1.61%,-0.16,-16.23%,-0.0054,-0.0632
circ_mv,circ_mv,std,中证500,Long_top,BOTTOM,20130101,20201231,20,30,8.01%,-2.62%,0.42,-63.71%,12.79%,0.55,-52.21%,-0.83%,0.09,-31.88%,-0.0054,-0.0632
circ_mv,circ_mv,std,中证500,Long_bottom,BOTTOM,20130101,20201231,20,30,6.35%,-4.28%,0.37,-69.48%,9.38%,0.46,-55.26%,0.59%,0.14,-34.22%,-0.0054,-0.0632
circ_mv,circ_mv,std,中证500,LT_SB,BOTTOM,20130101,20201231,30,30,0.88%,-9.86%,0.14,-22.56%,0.49%,0.10,-17.65%,1.56%,0.23,-14.46%,-0.0062,-0.0743
circ_mv,circ_mv,std,中证500,Long_top,BOTTOM,20130101,20201231,30,30,7.32%,-3.41%,0.39,-69.01%,10.45%,0.48,-54.44%,1.17%,0.16,-35.22%,-0.0062,-0.0743
circ_mv,circ_mv,std,中证500,Long_bottom,BOTTOM,20130101,20201231,30,30,6.45%,-4.29%,0.37,-64.21%,10.16%,0.50,-54.31%,-0.73%,0.08,-30.57%,-0.0062,-0.0743
circ_mv,circ_mv,std_ratio,中证500,LT_SB,TOP,20130101,20201231,10,10,-6.25%,-16.48%,-0.72,-44.76%,-6.74%,-0.76,-36.07%,-5.22%,-0.63,-19.51%,0.0035,0.0438
circ_mv,circ_mv,std_ratio,中证500,Long_top,TOP,20130101,20201231,10,10,4.79%,-5.44%,0.31,-69.78%,7.81%,0.40,-58.10%,-0.98%,0.08,-34.54%,0.0035,0.0438
circ_mv,circ_mv,std_ratio,中证500,Long_bottom,TOP,20130101,20201231,10,10,11.13%,0.91%,0.52,-63.13%,14.84%,0.61,-55.91%,4.00%,0.29,-35.75%,0.0035,0.0438
circ_mv,circ_mv,std_ratio,中证500,LT_SB,TOP,20130101,20201231,20,10,-8.79%,-18.75%,-1.03,-53.19%,-8.30%,-1.00,-38.14%,-9.77%,-1.07,-26.43%,-0.001,-0.0162
circ_mv,circ_mv,std_ratio,中证500,Long_top,TOP,20130101,20201231,20,10,1.37%,-8.59%,0.20,-70.63%,5.08%,0.32,-56.98%,-5.62%,-0.10,-38.67%,-0.001,-0.0162
circ_mv,circ_mv,std_ratio,中证500,Long_bottom,TOP,20130101,20201231,20,10,10.45%,0.49%,0.50,-63.71%,13.57%,0.58,-55.22%,4.39%,0.29,-32.50%,-0.001,-0.0162
circ_mv,circ_mv,std_ratio,中证500,LT_SB,TOP,20130101,20201231,30,10,-4.10%,-14.06%,-0.45,-34.99%,-6.01%,-0.70,-34.43%,-0.20%,0.03,-16.85%,-0.0004,-0.0079
circ_mv,circ_mv,std_ratio,中证500,Long_top,TOP,20130101,20201231,30,10,5.08%,-4.89%,0.33,-65.20%,7.32%,0.40,-59.37%,0.88%,0.17,-31.82%,-0.0004,-0.0079
circ_mv,circ_mv,std_ratio,中证500,Long_bottom,TOP,20130101,20201231,30,10,9.08%,-0.89%,0.45,-65.00%,13.77%,0.58,-54.30%,0.49%,0.15,-34.42%,-0.0004,-0.0079
circ_mv,circ_mv,std_ratio,中证500,LT_SB,BOTTOM,20130101,20201231,10,10,7.52%,-2.70%,0.95,-17.41%,7.91%,0.96,-13.85%,6.84%,0.87,-17.41%,-0.0023,-0.0298
circ_mv,circ_mv,std_ratio,中证500,Long_top,BOTTOM,20130101,20201231,10,10,12.21%,1.98%,0.55,-64.96%,15.62%,0.63,-55.49%,5.66%,0.35,-37.22%,-0.0023,-0.0298
circ_mv,circ_mv,std_ratio,中证500,Long_bottom,BOTTOM,20130101,20201231,10,10,3.71%,-6.51%,0.28,-68.71%,6.84%,0.37,-56.05%,-2.05%,0.06,-34.13%,-0.0023,-0.0298
circ_mv,circ_mv,std_ratio,中证500,LT_SB,BOTTOM,20130101,20201231,20,10,3.12%,-6.83%,0.44,-21.39%,6.05%,0.75,-21.39%,-2.44%,-0.18,-12.88%,-0.0011,-0.0187
circ_mv,circ_mv,std_ratio,中证500,Long_top,BOTTOM,20130101,20201231,20,10,8.69%,-1.26%,0.45,-62.21%,15.43%,0.63,-56.35%,-3.56%,0.00,-33.71%,-0.0011,-0.0187
circ_mv,circ_mv,std_ratio,中证500,Long_bottom,BOTTOM,20130101,20201231,20,10,4.98%,-4.97%,0.33,-67.55%,8.59%,0.43,-53.16%,-1.81%,0.07,-36.22%,-0.0011,-0.0187
circ_mv,circ_mv,std_ratio,中证500,LT_SB,BOTTOM,20130101,20201231,30,10,1.27%,-8.70%,0.23,-18.39%,2.83%,0.41,-15.03%,-1.66%,-0.15,-18.39%,-0.0017,-0.0335
circ_mv,circ_mv,std_ratio,中证500,Long_top,BOTTOM,20130101,20201231,30,10,7.91%,-2.06%,0.42,-65.74%,12.79%,0.56,-55.25%,-1.27%,0.07,-34.09%,-0.0017,-0.0335
circ_mv,circ_mv,std_ratio,中证500,Long_bottom,BOTTOM,20130101,20201231,30,10,6.15%,-3.81%,0.37,-64.98%,9.38%,0.46,-55.88%,0.00%,0.12,-34.66%,-0.0017,-0.0335
circ_mv,circ_mv,std_ratio,中证500,LT_SB,TOP,20130101,20201231,10,20,-11.62%,-21.58%,-1.42,-62.17%,-14.75%,-1.81,-57.24%,-4.98%,-0.59,-16.26%,0.0001,0.0007
circ_mv,circ_mv,std_ratio,中证500,Long_top,TOP,20130101,20201231,10,20,1.07%,-8.88%,0.20,-71.49%,3.12%,0.27,-59.60%,-3.08%,-0.00,-35.88%,0.0001,0.0007
circ_mv,circ_mv,std_ratio,中证500,Long_bottom,TOP,20130101,20201231,10,20,13.77%,3.81%,0.61,-57.94%,20.51%,0.77,-51.95%,1.56%,0.20,-36.06%,0.0001,0.0007
