因子名称,参数1,参数2,科目类别,年化收益率 （全时期）,夏普比率 （全时期）,最大回撤率 （全时期）,年化收益率 （前2/3时期）,夏普比率 （前2/3时期）,最大回撤率 （前2/3时期）,年化收益率 （后1/3时期）,夏普比率 （后1/3时期）,最大回撤率 （后1/3时期）,IC值,ICIR
CAP,std_ratio,,LT_SB,0.102,2.263,0.092,0.118,1.536,0.09,0.338,3.433,0.04,0.002,0.027
CAP,std_ratio,,Long_top,0.048,2.227,0.055,0.051,1.552,0.051,0.152,2.28,0.037,0.002,0.027
CAP,std_ratio,,Long_bottom,-0.054,-1.968,0.076,-0.065,-1.372,0.076,-0.153,-3.798,0.039,0.002,0.027
