因子名称,参数1,参数2,科目类别,年化收益率 （全时期）,夏普比率 （全时期）,最大回撤率 （全时期）,年化收益率 （前2/3时期）,夏普比率 （前2/3时期）,最大回撤率 （前2/3时期）,年化收益率 （后1/3时期）,夏普比率 （后1/3时期）,最大回撤率 （后1/3时期）,IC值,ICIR
CAP,std,,LT_SB,0.231,3.412,0.072,0.177,1.763,0.072,0.866,7.671,0.028,0.002,0.027
CAP,std,,Long_top,0.148,2.929,0.041,0.129,2.204,0.041,0.513,9.718,0.021,0.002,0.027
CAP,std,,Long_bottom,-0.072,-2.991,0.072,-0.045,-1.089,0.072,-0.2,-4.683,0.042,0.002,0.027
